Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
2.10E+07,|Technology|Big Data|Mobile|, Big Data ," 50,50,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/2013,2013-01,2013-Q1,2013,11/17/2013,11/17/2013,0,5050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22nd-century-group,|Biotechnology|, Biotechnology ," 1,50,34,750 ",operating,USA,NY,NY - Other,Clarence,6,1/1/1998,1998-01,1998-Q1,1998,12/28/2010,9/18/2014,0,12528500,0,0,0,2506250,0,0,0,0,0,0,0,2428500,0,0,0,0,0,0,0
23andme,|Search|Biotechnology|, Biotechnology ," 11,19,49,900 ",operating,USA,CA,SF Bay Area,Mountain View,6,4/1/2006,2006-04,2006-Q2,2006,5/1/2007,7/29/2014,0,110549900,0,0,0,0,0,1400000,0,0,0,0,0,9000000,12600000,31000000,57949900,0,0,0,0
24fundraiser-com,|Non Profit|Social Fundraising|, Social Fundraising ," 4,00,000 ",operating,USA,IL,Chicago,Willowbrook,1,8/1/2007,2007-08,2007-Q3,2007,5/1/2014,5/1/2014,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24m-technologies,|Clean Technology|, Clean Technology ," 1,60,00,000 ",operating,USA,MD,Salisbury,Cambridge,1,1/1/2010,2010-01,2010-Q1,2010,8/16/2010,8/16/2010,0,16000000,0,0,0,0,0,0,0,0,0,0,0,16000000,0,0,0,0,0,0,0
24pagebooks,|Software|, Software ,"50,000",closed,USA,NY,"Rochester, New York",Rochester,1,1/1/2010,2010-01,2010-Q1,2010,5/24/2011,5/24/2011,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250ok,|Software|, Software ," 2,00,000 ",operating,USA,IN,Indianapolis,Indianapolis,1,1/1/2012,2012-01,2012-Q1,2012,9/1/2012,9/1/2012,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-perry,|Finance|Marketplaces|E-Commerce|, E-Commerce ," 1,18,000 ",closed,USA,CO,Denver,Boulder,1,7/25/2012,2012-07,2012-Q3,2012,5/17/2012,5/17/2012,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28msec,|Cloud Computing|Web Development|Databases|Software|, Software ," 58,44,811 ",operating,USA,CA,SF Bay Area,Palo Alto,1,1/1/2008,2008-01,2008-Q1,2008,10/28/2013,10/28/2013,0,5844811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in-and-out-cash-management-software,|Finance|Software|, Software ," 2,50,000 ",operating,USA,CA,SF Bay Area,San Pablo,1,12/1/2011,2011-12,2011-Q4,2011,11/10/2013,11/10/2013,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0
2go-software-solutions,|Software|, Software ," 2,75,000 ",operating,USA,TX,Dallas,Plano,1,1/1/2008,2008-01,2008-Q1,2008,4/9/2010,4/9/2010,0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd-story-software-inc,|Software|, Software ," 8,50,00,000 ",acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,2/15/1998,1998-02,1998-Q1,1998,3/30/2005,3/30/2005,0,0,0,0,0,0,0,0,85000000,0,0,0,0,0,0,0,0,0,0,0,0
2nd-watch,|Cloud Infrastructure|Corporate IT|Enterprise Software|, Corporate IT ," 3,76,44,420 ",operating,USA,WA,Seattle,Seattle,4,1/1/2010,2010-01,2010-Q1,2010,12/6/2011,10/14/2014,0,37644420,0,0,0,0,0,0,0,0,0,0,0,0,0,33000000,0,0,0,0,0
2-ngage-u,|Social + Mobile + Local|Mobile Social|Mobile|MMO Games|Internet|Entertainment|Social Network Media|Consumers|Women|Games|, Mobile Social ,"58,000",operating,USA,VT,VT - Other,Williston,1,12/26/2011,2011-12,2011-Q4,2011,4/12/2012,4/12/2012,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nite2nite-net,|Media|Advertising|, Advertising ,"6,000",operating,USA,CA,Sacramento,Elk Grove,1,9/13/2013,2013-09,2013-Q3,2013,9/13/2014,9/13/2014,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2u,|Software|Education|, Software ," 9,58,75,000 ",operating,USA,MD,Baltimore,Hanover,6,1/1/2008,2008-01,2008-Q1,2008,3/25/2009,10/21/2013,2275000,93600000,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,32500000,31100000,0,0,0,0
3-v-biosciences,|Biotechnology|, Biotechnology ," 7,80,89,000 ",operating,USA,CA,SF Bay Area,Menlo Park,4,3/1/2007,2007-03,2007-Q1,2007,7/10/2009,6/21/2013,0,78089000,0,0,0,0,0,0,0,0,0,0,0,0,30000000,20000000,0,0,0,0,0
